Abraham  Ralph,202-225-8490,"417 CHOB,Louisiana 5th District"
Taylor  Scott,202-225-4215,"412 CHOB,Virginia 2nd District"
Tenney  Claudia,202-225-3665,"512 CHOB,New York 22nd District"
Thompson  Bennie G.,202-225-5876,"2466 RHOB,Mississippi 2nd District"
Thompson  Glenn W.,202-225-5121,"124 CHOB,Pennsylvania 5th District"
Thompson  Mike,202-225-3311,"231 CHOB,California 5th District"
Thornberry  Mac,202-225-3706,"2208 RHOB,Texas 13th District"
Tiberi  Pat,202-225-5355,"1203 LHOB,Ohio 12th District"
Tipton  Scott,202-225-4761,"218 CHOB,Colorado 3rd District"
Titus  Dina,202-225-5965,"2464 RHOB,Nevada 1st District"
Tonko  Paul D.,202-225-5076,"2463 RHOB,New York 20th District"
Torres  Norma,202-225-6161,"1713 LHOB,California 35th District"
Trott  Dave,202-225-8171,"1722 LHOB,Michigan 11th District"
Tsongas  Niki,202-225-3411,"1714 LHOB,Massachusetts 3rd District"
Turner  Michael,202-225-6465,"2368 RHOB,Ohio 10th District"
Upton  Fred,202-225-3761,"2183 RHOB,Michigan 6th District"
Valadao  David,202-225-4695,"1728 LHOB,California 21st District"
Vargas  Juan,202-225-8045,"1605 LHOB,California 51st District"
Veasey  Marc,202-225-9897,"1519 LHOB,Texas 33rd District"
Vela  Filemon,202-225-9901,"437 CHOB,Texas 34th District"
Velázquez  Nydia M.,202-225-2361,"2302 RHOB,New York 7th District"
Visclosky  Peter,202-225-2461,"2328 RHOB,Indiana 1st District"
Wagner  Ann,202-225-1621,"435 CHOB,Missouri 2nd District"
Walberg  Tim,202-225-6276,"2436 RHOB,Michigan 7th District"
Walden  Greg,202-225-6730,"2185 RHOB,Oregon 2nd District"
Walker  Mark,202-225-3065,"1305 LHOB,North Carolina 6th District"
Walorski  Jackie,202-225-3915,"419 CHOB,Indiana 2nd District"
Walters  Mimi,202-225-5611,"215 CHOB,California 45th District"
Walz  Timothy J.,202-225-2472,"2313 RHOB,Minnesota 1st District"
Wasserman Schultz  Debbie,202-225-7931,"1114 LHOB,Florida 23rd District"
Waters  Maxine,202-225-2201,"2221 RHOB,California 43rd District"
Watson Coleman  Bonnie,202-225-5801,"1535 LHOB,New Jersey 12th District"
Weber  Randy,202-225-2831,"1708 LHOB,Texas 14th District"
Webster  Daniel,202-225-1002,"1210 LHOB,Florida 11th District"
Welch  Peter,202-225-4115,"2303 RHOB,Vermont At-Large"
Wenstrup  Brad,202-225-3164,"2419 LHOB,Ohio 2nd District"
Westerman  Bruce,202-225-3772,"130 CHOB,Arkansas 4th District"
Williams  Roger,202-225-9896,"1323 LHOB,Texas 25th District"
Wilson  Frederica,202-225-4506,"2445 RHOB,Florida 24th District"
Wilson  Joe,202-225-2452,"1436 LHOB,South Carolina 2nd District"
Wittman  Robert J.,202-225-4261,"2055 RHOB,Virginia 1st District"
Womack  Steve,202-225-4301,"2412 RHOB,Arkansas 3rd District"
Woodall  Robert,202-225-4272,"1724 LHOB,Georgia 7th District"
Yarmuth  John A.,202-225-5401,"131 CHOB,Kentucky 3rd District"
Yoder  Kevin,202-225-2865,"2433 RHOB,Kansas 3rd District"
Yoho  Ted,202-225-5744,"511 CHOB,Florida 3rd District"
Young  David,202-225-5476,"240 CHOB,Iowa 3rd District"
Young  Don,202-225-5765,"2314 RHOB,Alaska At-Large"
Zeldin  Lee,202-225-3826,"1517 LHOB,New York 1st District"
Zinke  Ryan,202-225-3211,"1419 LHOB,Montana At-Large"
